"Movie","Playdate","Playtime","Play_month","Weekdays","Rep_Nationality","Grade","Rep_production","Rep_distributor","Rep_genre","Rep_director","Rep_actor1","Rep_actor2","Rep_actor3","Rep_actor4","Rep_actor5","Critic_star","Naver_star_before_play","Naver_participants_before_play","Naver_expect_index_wannasee","Naver_expect_index_notreally","Watcha_star","Watcha_participants","Watcha_expect_index_wannasee","Watcha_comments","Week1_playdays","Week1_holiday","Week1_sales","Week1_sales_share","Week1_audience","Week1_screen","Week1_screening","Week2_isplay","Week2_holiday","Week2_sales","Week2_sales_share","Week2_audience","Week2_screen","Week2_screening","Week3_holiday","Week4_holiday","Week2_Cum_audience","Week3_Cum_audience","Week4_Cum_audience","Week5_Cum_audience"
"겁쟁이 페달: 리로드","2016-01-14",90,1,"목요일","일본/중국","전체관람가",NA,"(주)미디어캐슬","애니메이션","나베시마 오사무",NA,NA,NA,NA,NA,NA,10,1,127,4,4,135,30,10,7,2,6760309,0,976,7,46,1,2,4762000,0,648,4,28,2,5,1624,2134,2511,2551
"비틀스: 에잇 데이즈 어 위크 ? 투어링 이어즈","2016-10-19",137,10,"수요일","독일/영국/프랑스","12세이상관람가",NA,"메가박스(주)플러스엠","드라마","론 하워드","존 레논","폴 매카트니","조지 해리슨","링고 스타",NA,7,10,133,411,21,3.7,1994,1802,281,8,2,94756800,0.003,12020,280,1587,1,2,16276725,0,2046,17,136,2,2,14066,15003,15280,15613
"길","2017-05-11",86,5,"목요일","한국","12세이상관람가","블루블랙(주)","(주)더블앤조이픽쳐스","드라마","정인봉","김혜자","송재호","허진","온주완",NA,5,10,30,446,24,2.2,101,84,19,7,2,18898400,0.001,3132,54,371,1,2,47059200,0.002,11530,72,142,2,3,14662,15286,15325,15338
"꼬마 유령","2015-06-11",92,6,"목요일","독일/영국/프랑스","전체관람가",NA,"(주)영화사오원","판타지","알랑 그스포너",NA,NA,NA,NA,NA,NA,8,14,223,59,2.8,394,222,8,7,2,81702500,0.003,11363,176,1009,1,2,23538300,0.001,3199,49,167,2,2,14562,15023,15054,15150
"비거 스플래쉬","2016-08-03",124,8,"수요일","기타","청소년관람불가",NA,"찬란","멜로/로맨스","루카 구아다그니노","틸다 스윈튼","랄프 파인즈","마티아스 쇼에나에츠","다코타 존슨",NA,7,9,33,316,22,3.2,2878,3089,366,8,2,70604800,0.001,8921,59,432,1,3,37780100,0.001,4626,32,272,2,2,13547,14689,15127,15127
"극장판 요괴워치: 염라대왕과 5개의 이야기다냥!","2016-07-20",94,7,"수요일","일본/중국","전체관람가",NA,"씨제이이앤엠(주)","애니메이션","타카하시 시게하루","토마츠 하루카","유키 아오이","세키 토모카즈","코자쿠라 에츠코",NA,6,10,220,2481,159,2.8,125,34,17,8,2,1412513320,0.024,188379,707,4334,1,2,888574960,0.011,119497,235,1786,2,3,307876,321883,328908,329793
"더 웨이브","2016-07-13",104,7,"수요일","기타","12세이상관람가",NA,"(주)팝엔터테인먼트","액션","로아 우타우","크리스토퍼 조너","아네 달 토프","조나스 호프 오프테브로","이디스 하겐루드 산드","프리드쇼프 소헤임",7,8,399,724,131,2.8,1796,489,221,8,2,114345321,0.003,14627,262,1671,1,2,2317000,0,290,7,34,2,2,14917,14918,14918,14918
"나쁜놈은 죽는다","2016-02-04",104,2,"목요일","일본/중국","15세이상관람가","(주)케이알씨지","TCO(주)더콘텐츠온","코미디","손호","손예진","진백림","신현준","박철민","장광",4,7,543,1297,723,1.6,1135,306,173,7,5,96544700,0.001,12260,138,1375,1,2,19074000,0.001,2491,43,333,2,3,14751,14763,14767,14767
"이다","2015-02-18",82,2,"수요일","기타","15세이상관람가",NA,"시네마 뉴원","드라마","파웰 파울리코우스키","조안나 쿠릭",NA,NA,NA,NA,8,9,71,199,41,3.8,7234,17335,793,8,5,61130100,0.001,7874,62,410,1,2,30216745,0.001,3951,33,265,2,2,11825,13923,14486,14711
"뷰티풀 라이","2015-03-26",110,3,"목요일","미국/캐나다/호주","12세이상관람가",NA,"씨제이이앤엠(주)","드라마","필리프 팔라도","리즈 위더스푼","아놀드 오셍","게르 두아니","엠마뉴엘 잘",NA,6,9,53,254,25,3.5,1741,2014,137,7,2,94975600,0.004,12636,91,1316,1,2,11450600,0,1655,15,102,2,2,14291,14474,14528,14585
